#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
342	لُكَعٌ		لكع		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"لُكَعٌ-لُكَعٌ، ةٌ [ل ك ع]. 1.""رَجُلٌ لُكَعٌ"" : لَئِيمٌ، أَوْ أَحْمَقُ. ""اِمْرَأَةٌ لُكَعَةٌ"". 2.""وَلَدٌ لُكَعٌ"" : صَغِيرٌ."
343	لُمَزَةٌ		لمز		صفة			مذكر			مفرد								Tn									"لُمَزَةٌ-لُمَزَةٌ (مذ، مؤ) [ل م ز]. ""رَجُلٌ لُمَزَةٌ"" : عَيَّابٌ لِلنَّاسِ، يَعِيبُ النَّاسَ فِي وُجُوهِهِمْ.الهمزة آية 1 وَيْلٌ لِكُلِّ هُمَزَةٍ لُمَزَةٍ (قرآن)."
344	مَعِيٌّ		لمع		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn									"أَلْمَعِيٌّ-أَلْمَعِيٌّ، ةٌ [ل م ع]. 1.""أَلْمَعِيٌّ فِي دِرَاسَتِهِ وَعَمَلِهِ"" : ذَكِيُّ، نَشِيطٌ. 2.""أَلْمَعِيٌّ مَعَ أقْرَانِهِ"" : ظَرِيفٌ، خَفِيفُ الرُّوحِ وَالحَرَكَةِ."
345	مُلَمِّعَةٌ		لمع		صفة			مذكر			مفرد								Tn									"مُلَمِّعَةٌ-مُلَمِّعَةٌ [ل م ع]. ""أَرْضٌ مُلَمِّعَةٌ"" : سَرَابُهَا مُشِعٌّ، يَلْمَعُ."
346	لَهُوٌّ		لهو		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"لَهُوٌّ-لَهُوٌّ، ةٌ [ل هـ و]. ""رَجُلٌ لَهُوٌّ عَنِ الْخَيْرِ"" : أَيْ كَثِيرُ الإِعْرَاضِ عَنْهُ وَالتَّرْكِ لَهُ."
347	لَيْنٌ		لين		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									". ن. لَيِّنٌ. لَيِّنٌ، ةٌ - ج: ـون، ـات. [ل ي ن]. ""لَيِّنُ الْجَانِبِ"" : هَادِئ، لَطِيفُ الْمُعَاشَرَةِ، نَاعِمٌ . ""لَيِّنُ الْعَرِيكَةِ"" ""لَيِّنُ الطَّبْعِ"". "
348	مَتِينٌ		متن		صفة			مذكر			مفرد	+ات;مِتَانٌ		Ta	DnT	Pf			Tn									". 1.""شَدَّهُ بِحَبْلٍ مَتِينٍ"" : قَوِيٍّ، صَلْبٍ.""وَلَدٌ مَتِينُ العَضَلاَتِ"".2.الذاريات آية 58 إِنَّ الله هُوَ الرَّزَّاقُ ذُو القُوَّةِ الْمَتِينُ (قرآن) : مِنْ أَسْمَاءِ الله الحسنى. 3.""رَأْيٌ مَتِينٌ"" : رَأْيٌ لَهُ وَجَاهَتُهُ، قَوِيٌّ."
349	مِتَانٌ		متن		صفة			مذكر			جمع																	
350	مَجِيدٌ		مجد		صفة			مذكر			مفرد	+ون;+ات;أَمْجَادٌ		Ta	DnT	Pf	Pm		Tn									". 1.""بَطَلٌ مَجِيدٌ"" : ذُو مَجْدٍ. 2.""عَمَلٌ مَجِيدٌ"" : رَفِيعٌ، عَالٍ. 3.""هُوَ اللهُ الْمَجِيدُ"": الْمُبَجَّلُ. 4.""الكِتَابُ الْمَجِيدُ"" : القُرْآنُ الكَرِيمُ. 5.""عَبْدُ الْمَجِيدِ"": اِسْمُ عَلَمٍ مُرَكَّبٌ."
351	أَمْجَادٌ		مجد		صفة			مذكر			جمع																	
352	غَثٌّ		غثث	فَعْلٌ	صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"غَثٌّ-غَثٌّ [غ ث ث] (صف). 1.""وَاجَهَهُ بِكَلاَمٍ غَثٍّ"" : بِكَلاَمٍ فَاحِشٍ، سَاقِطٍ. 2.""لاَ يُمَيِّزُ بَيْنَ الغَثِّ وَالسَّمِينِ"" : أَيْ لاَ يُمَيِّزُ بَيْنَ الرَّدِيءِ وَالْجَيِّدِ. ""يُفْسِدُ السَّمِينَ بِالغَثِّ وَيَرْقَعُ الْجَدِيدَ بِالرَّثِّ"" (التوحيدي)."
